Title,Company,Location,Salary,Job Type,Description,Date Posted
Assistant Derrickman,Puglisevich Canada,"St. John's, NL",N/A,,Frequently test the properties of the drilling fluid and keep records of the results. Contribute to good communication between all involved in the ongoing…   ,20
Room Attendant,Delta St. John's Westmont Hospitality Group,"St. John's, NL",14.69,Casual,"Shut off all lights, TVs, and air conditioners when leaving room. Must be able to speak, read, write, and understand the primary language(s) used by guests…  ",30
Project Administrative Assistant,Tristar Mechanical Ltd.,"St. John's, NL",720.0,Full-time,"Have a valid driver’s license. Ability to read and interpret bid documents, project drawings and specifications an asset.  ",3
Administration officer,NEWFOUND MORTGAGE PROFESSIONALS INC.,"St. John's, NL",23.0,Full-time,"Assist in the development and implementation of office policies and procedures. Support the team with various tasks as needed, including data entry and report…  ",2
Administrative Assistant III,Vale,"St. John's, NL",N/A,Permanent,"Receive and screen telephone calls, letters, and/or visitors, answering routine questions, and acquiring and providing information to save executive's time.   ",11
"Office & Titles Clerk (Temporary, Part Time)",OPENLANE,"Paradise, NL",N/A,Part-time,"Maintain a knowledge of provincial and regulations as relate to vehicle titles. Check, acknowledge and respond to incoming messages.   ",17
Package Handler- Warehouse,FedEx Ground Warehouse,"Mount Pearl, NL",18.35,"Fixed term contract
+1","Package Handlers are responsible for warehouse duties including: the physical loading, unloading and/or sorting of packages of varying sizes and weights by hand…   ",8
food counter attendant,FB Burrito Partnership,"St. John's, NL",15.5,"Full-time
+1","Serve customers at counters or buffet tables. Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.  ",21
Stores Clerk,PAL Technical Services,"St. John's, NL",N/A,Full-time,Provide inventory control of aircraft parts. Entering parts data into company's maintenance tracking system. Control quarantine stores as per company's MCM.   ,26
Sales Associate-Avalon Mall Annex (seasonal),The Children's Place,"St. John's, NL",N/A,Part-time,Signale rapidement à l'équipe de direction les besoins en matière de maintenance et de matériel pour offrir aux clients et associés un environnement propre et…   ,30
Administration officer,NEWFOUND MORTGAGE PROFESSIONALS INC.,"St. John's, NL",23.0,Full-time,"Assist in the development and implementation of office policies and procedures. Support the team with various tasks as needed, including data entry and report…  ",2
Domestic/Laundry,NL Health Services,"St. John's, NL",N/A,,The successful candidate will be required to provide a satisfactory Certificate of Conduct from the RCMP or local Police (Vulnerable Sector Check may be…  ,30
"Manager, Occupational Health and Safety",City of St. John’s,"St. John's, NL",N/A,,"Reporting to the Director of Human Resources, the Manager, Occupational Health and Safety is responsible for the development and implementation of the City's…   ",30
bartender,Spirit of Newfoundland Productions LTD,"St. John's, NL",15.0,"Full-time
+1","Collect cash, credit/debit cards or other payment for beverages. Enforce provincial/territorial liquor legislation and regulations. Organize and set up bar.  ",6
Materials Coordinator,Evas Air,"Gander, NL",1.0,Full-time,Provides feedback and participates in continuous quality improvement initiatives. Attention to detail and a high level of proficiency in a computerized…   ,1
Cashier,Dominion,"St. John's, NL",N/A,Part-time,Handle cash and credit card transactions. Our Cashiers connect with customers through delightful conversations and efficient transactions to create a memorable…   ,25
Store Manager 3,Walmart Canada,"Mount Pearl, NL",N/A,Full-time,"Serves the community as a visible leader by participating in and supporting community events, developing relationships with key community groups, serving as a…   ",4
Call Taker/Dispatcher,Mr. Rooter Plumbing / Mr.Electric of St. John's...,"St. John's, NL",18.5,Full-time,"In this role, the successful team member will answer service call request from customers and dispatch technicians to their job site.  ",4
delivery driver,Pik-Fast Express Inc.,"Mount Pearl, NL",1.0,Full-time,"Education: No degree, certificate or diploma. Pay and receive payments for goods. Use maps and other trip planning aids. Up to 9 kg (20 lbs).  ",9
Food Bank Coordinator,MacMorran Community Center,"St. John's, NL",18.57,Full-time,Meeting with foodbanks to determine needs and gain an understanding of issues. Ongoing meetings with the coalition partners to report on progress.  ,4
